Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Command and Control,Chrome 73.0.3683.103,,2019-04-24 09:05:07,2019-04-24 09:07:19,2m - 11.690s,PASSED
,,,,,,
Test Cases/Command and Control/Control tasks,Chrome 73.0.3683.103,,2019-04-24 09:05:07,2019-04-24 09:06:03,56.128s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 73.0.3683.103,,2019-04-24 09:05:08,2019-04-24 09:05:24,16.627s,PASSED
delay(1),Chrome 73.0.3683.103,"login
",2019-04-24 09:05:24,2019-04-24 09:05:26,1.021s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 73.0.3683.103,,2019-04-24 09:05:26,2019-04-24 09:05:28,2.143s,PASSED
"waitForElementPresent(findTestObject(""Nav Bar/commandAndControl""), 15)",Chrome 73.0.3683.103,,2019-04-24 09:05:28,2019-04-24 09:05:28,0.031s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.103,,2019-04-24 09:05:28,2019-04-24 09:05:34,5.840s,PASSED
"isControldTasksOpen = waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 73.0.3683.103,check if task control view is already open,2019-04-24 09:05:34,2019-04-24 09:05:49,15.579s,PASSED
if (!(isControldTasksOpen)),Chrome 73.0.3683.103,if task control view is not open then open it,2019-04-24 09:05:49,2019-04-24 09:05:50,1.243s,PASSED
"waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 73.0.3683.103,,2019-04-24 09:05:50,2019-04-24 09:05:50,0.035s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.103,,2019-04-24 09:05:50,2019-04-24 09:05:50,0.024s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 09:05:50,2019-04-24 09:05:51,1.003s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/dateField""), 15)",Chrome 73.0.3683.103,check if date field exist,2019-04-24 09:05:51,2019-04-24 09:05:52,0.159s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/dateField""), 5)",Chrome 73.0.3683.103,,2019-04-24 09:05:52,2019-04-24 09:05:52,0.086s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/footer""), 15)",Chrome 73.0.3683.103,check if footer exist,2019-04-24 09:05:52,2019-04-24 09:05:52,0.045s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/footer""), 5)",Chrome 73.0.3683.103,,2019-04-24 09:05:52,2019-04-24 09:05:52,0.072s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/mainTable""), 15)",Chrome 73.0.3683.103,check if main table exist,2019-04-24 09:05:52,2019-04-24 09:05:52,0.038s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/mainTable""), 5)",Chrome 73.0.3683.103,,2019-04-24 09:05:52,2019-04-24 09:05:52,0.065s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 15)",Chrome 73.0.3683.103,check if first line exist in table,2019-04-24 09:05:52,2019-04-24 09:05:52,0.077s,PASSED
