Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Command and Control,Chrome 72.0.3626.121,,2019-03-19 14:00:37,2019-03-19 14:02:43,2m - 6.295s,PASSED
,,,,,,
Test Cases/Command and Control/Control tasks,Chrome 72.0.3626.121,,2019-03-19 14:00:37,2019-03-19 14:01:26,48.743s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 72.0.3626.121,,2019-03-19 14:00:38,2019-03-19 14:00:49,11.504s,PASSED
delay(1),Chrome 72.0.3626.121,"login
",2019-03-19 14:00:49,2019-03-19 14:00:50,1.022s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 72.0.3626.121,,2019-03-19 14:00:50,2019-03-19 14:00:51,0.545s,PASSED
"waitForElementPresent(findTestObject(""Nav Bar/commandAndControl""), 15)",Chrome 72.0.3626.121,,2019-03-19 14:00:51,2019-03-19 14:00:52,0.539s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 72.0.3626.121,,2019-03-19 14:00:52,2019-03-19 14:00:55,3.342s,PASSED
"isControldTasksOpen = waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 72.0.3626.121,check if task control view is already open,2019-03-19 14:00:55,2019-03-19 14:01:10,15.507s,PASSED
if (!(isControldTasksOpen)),Chrome 72.0.3626.121,if task control view is not open then open it,2019-03-19 14:01:10,2019-03-19 14:01:12,1.248s,PASSED
"waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 72.0.3626.121,,2019-03-19 14:01:12,2019-03-19 14:01:12,0.025s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 72.0.3626.121,,2019-03-19 14:01:12,2019-03-19 14:01:12,0.020s,PASSED
delay(1),Chrome 72.0.3626.121,,2019-03-19 14:01:12,2019-03-19 14:01:13,1.003s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/dateField""), 15)",Chrome 72.0.3626.121,check if date field exist,2019-03-19 14:01:13,2019-03-19 14:01:13,0.054s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/dateField""), 5)",Chrome 72.0.3626.121,,2019-03-19 14:01:13,2019-03-19 14:01:13,0.078s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/footer""), 15)",Chrome 72.0.3626.121,check if footer exist,2019-03-19 14:01:13,2019-03-19 14:01:13,0.044s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/footer""), 5)",Chrome 72.0.3626.121,,2019-03-19 14:01:13,2019-03-19 14:01:13,0.054s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/mainTable""), 15)",Chrome 72.0.3626.121,check if main table exist,2019-03-19 14:01:13,2019-03-19 14:01:14,1.103s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/mainTable""), 5)",Chrome 72.0.3626.121,,2019-03-19 14:01:14,2019-03-19 14:01:14,0.070s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 15)",Chrome 72.0.3626.121,check if first line exist in table,2019-03-19 14:01:14,2019-03-19 14:01:14,0.044s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 5)",Chrome 72.0.3626.121,,2019-03-19 14:01:14,2019-03-19 14:01:14,0.057s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/upperLeftFirstLine""), 15)",Chrome 72.0.3626.121,check if upper left elemnt has content,2019-03-19 14:01:14,2019-03-19 14:01:15,1.080s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/upperLeftFirstLine""), 5)",Chrome 72.0.3626.121,,2019-03-19 14:01:15,2019-03-19 14:01:15,0.051s,PASSED
"doubleClick(findTestObject(""Command and Control/Tasks Control/tableFirstLine""))",Chrome 72.0.3626.121,enter a task,2019-03-19 14:01:15,2019-03-19 14:01:15,0.167s,PASSED
delay(1),Chrome 72.0.3626.121,,2019-03-19 14:01:15,2019-03-19 14:01:16,1.003s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 72.0.3626.121,,2019-03-19 14:01:16,2019-03-19 14:01:18,1.510s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 15)",Chrome 72.0.3626.121,check task tracking view exist,2019-03-19 14:01:18,2019-03-19 14:01:18,0.043s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 5)",Chrome 72.0.3626.121,,2019-03-19 14:01:18,2019-03-19 14:01:18,0.057s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 72.0.3626.121,,2019-03-19 14:01:18,2019-03-19 14:01:18,0.018s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 15)",Chrome 72.0.3626.121,check if task tracking is open,2019-03-19 14:01:18,2019-03-19 14:01:18,0.029s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 5)",Chrome 72.0.3626.121,,2019-03-19 14:01:18,2019-03-19 14:01:18,0.061s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/header""), 15)",Chrome 72.0.3626.121,check if header exist,2019-03-19 14:01:18,2019-03-19 14:01:18,0.041s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/header""), 5)",Chrome 72.0.3626.121,,2019-03-19 14:01:18,2019-03-19 14:01:18,0.054s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/map""), 15)",Chrome 72.0.3626.121,check if map exist,2019-03-19 14:01:18,2019-03-19 14:01:18,0.037s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/map""), 5)",Chrome 72.0.3626.121,,2019-03-19 14:01:18,2019-03-19 14:01:18,0.058s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/exeptionsTabHref""), 15)",Chrome 72.0.3626.121,move to exeptions tab,2019-03-19 14:01:18,2019-03-19 14:01:18,0.042s,PASSED
delay(1),Chrome 72.0.3626.121,,2019-03-19 14:01:18,2019-03-19 14:01:19,1.003s,PASSED
"click(findTestObject(""Command and Control/Task Tracking/exeptionsTabHref""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-19 14:01:19,2019-03-19 14:01:20,0.125s,PASSED
delay(1),Chrome 72.0.3626.121,,2019-03-19 14:01:20,2019-03-19 14:01:21,1.003s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/exeptionsTable""), 15)",Chrome 72.0.3626.121,check if exeptions table exist,2019-03-19 14:01:21,2019-03-19 14:01:21,0.058s,PASSED
