Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pre Salary,Chrome 73.0.3683.103,,2019-04-30 13:55:51,2019-04-30 14:07:25,11m - 33.673s,FAILED
,,,,,,
Test Cases/Pre-Salary/One Driver Calc,Chrome 73.0.3683.103,,2019-04-30 13:55:52,2019-04-30 13:57:30,1m - 38.642s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 73.0.3683.103,,2019-04-30 13:55:52,2019-04-30 13:56:15,22.392s,PASSED
date = new java.util.Date(),Chrome 73.0.3683.103,,2019-04-30 13:56:15,2019-04-30 13:56:15,0.007s,PASSED
cal = Calendar.getInstance(),Chrome 73.0.3683.103,,2019-04-30 13:56:15,2019-04-30 13:56:15,0.007s,PASSED
cal.setTime(date),Chrome 73.0.3683.103,,2019-04-30 13:56:15,2019-04-30 13:56:15,0.013s,PASSED
month = cal.get(MONTH) + 1,Chrome 73.0.3683.103,,2019-04-30 13:56:15,2019-04-30 13:56:15,0.004s,PASSED
year = cal.get(YEAR),Chrome 73.0.3683.103,,2019-04-30 13:56:15,2019-04-30 13:56:15,0.001s,PASSED
"dayStr = ""01""",Chrome 73.0.3683.103,,2019-04-30 13:56:15,2019-04-30 13:56:15,0.001s,PASSED
"monthStr = """"",Chrome 73.0.3683.103,,2019-04-30 13:56:15,2019-04-30 13:56:15,0.001s,PASSED
yearStr = year.toString(),Chrome 73.0.3683.103,,2019-04-30 13:56:15,2019-04-30 13:56:15,0.003s,PASSED
if (month < 10),Chrome 73.0.3683.103,,2019-04-30 13:56:15,2019-04-30 13:56:15,0.005s,PASSED
fullDate = dayStr + monthStr + yearStr,Chrome 73.0.3683.103,,2019-04-30 13:56:15,2019-04-30 13:56:15,0.003s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:56:15,2019-04-30 13:56:16,1.038s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 73.0.3683.103,,2019-04-30 13:56:16,2019-04-30 13:56:19,2.703s,PASSED
"isPreSalaryTabOpen = waitForElementPresent(findTestObject(""Pre-Salary/preSalaryTab""), 5)",Chrome 73.0.3683.103,,2019-04-30 13:56:19,2019-04-30 13:56:25,6.002s,PASSED
if (!(isPreSalaryTabOpen)),Chrome 73.0.3683.103,,2019-04-30 13:56:25,2019-04-30 13:56:26,1.413s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), 15)",Chrome 73.0.3683.103,,2019-04-30 13:56:26,2019-04-30 13:56:27,0.591s,PASSED
"click(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""))",Chrome 73.0.3683.103,,2019-04-30 13:56:27,2019-04-30 13:56:27,0.217s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:56:27,2019-04-30 13:56:28,1.005s,PASSED
"setText(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), """")",Chrome 73.0.3683.103,,2019-04-30 13:56:28,2019-04-30 13:56:28,0.132s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:56:28,2019-04-30 13:56:29,1.004s,PASSED
"setText(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), fullDate)",Chrome 73.0.3683.103,,2019-04-30 13:56:29,2019-04-30 13:56:29,0.235s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), 15)",Chrome 73.0.3683.103,,2019-04-30 13:56:29,2019-04-30 13:56:29,0.031s,PASSED
"waitForElementNotPresent(findTestObject(""Pre-Salary/Filters/Drivers Dropdown/isLoadingDropdown""), 15)",Chrome 73.0.3683.103,,2019-04-30 13:56:29,2019-04-30 13:56:35,5.707s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:56:35,2019-04-30 13:56:36,1.004s,PASSED
try,Chrome 73.0.3683.103,,2019-04-30 13:56:36,2019-04-30 13:56:36,0.210s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:56:36,2019-04-30 13:56:37,1.002s,PASSED
try,Chrome 73.0.3683.103,,2019-04-30 13:56:37,2019-04-30 13:56:37,0.160s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:56:37,2019-04-30 13:56:38,1.004s,PASSED
"click(findTestObject(""Pre-Salary/Filters/Drivers Dropdown/driversListDropdownSelectFirstDriver""))",Chrome 73.0.3683.103,,2019-04-30 13:56:38,2019-04-30 13:56:39,0.141s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:56:39,2019-04-30 13:56:40,1.005s,PASSED
"click(findTestObject(""Pre-Salary/Data Status/importButton""))",Chrome 73.0.3683.103,,2019-04-30 13:56:40,2019-04-30 13:56:40,0.508s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:56:40,2019-04-30 13:56:41,1.003s,PASSED
try,Chrome 73.0.3683.103,,2019-04-30 13:56:41,2019-04-30 13:57:19,37.563s,FAILED
catch (Exception err),Chrome 73.0.3683.103,,2019-04-30 13:57:19,2019-04-30 13:57:27,8.095s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 20)",Chrome 73.0.3683.103,,2019-04-30 13:57:27,2019-04-30 13:57:29,2.227s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 20)",Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:29,0.029s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 2)",Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:29,0.020s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/driversCodeId_InDriversReportTableHeader""), 2)",Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:29,0.025s,PASSED
"driverCodeFromReport = getText(findTestObject(""Pre-Salary/Employee Details/driversCodeId_InDriversReportTableHeader""))",Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:29,0.062s,PASSED
if (driverCodeFromReport != driver_Id && !(driverCodeFromReport.contains(driver_Id))),Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:29,0.000s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/rightSideTable""), 10)",Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:29,0.024s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/rightSideTable""), 2)",Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:29,0.022s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/rightSideTableDriversId""), 10)",Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:29,0.022s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/rightSideTableDriversId""), 2)",Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:29,0.020s,PASSED
"driversCodeFromRightSideTable = getText(findTestObject(""Pre-Salary/Employee Details/rightSideTableDriversId""))",Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:29,0.040s,PASSED
if (!(driversCodeFromRightSideTable.contains(driver_Id))),Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:29,0.001s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-04-30 13:57:29,2019-04-30 13:57:30,1.031s,PASSED
,,,,,,
Test Cases/Pre-Salary/One Driver Calc,Chrome 73.0.3683.103,,2019-04-30 13:57:30,2019-04-30 13:58:31,1m - 0.403s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 73.0.3683.103,,2019-04-30 13:57:30,2019-04-30 13:57:45,14.543s,PASSED
date = new java.util.Date(),Chrome 73.0.3683.103,,2019-04-30 13:57:45,2019-04-30 13:57:45,0.001s,PASSED
cal = Calendar.getInstance(),Chrome 73.0.3683.103,,2019-04-30 13:57:45,2019-04-30 13:57:45,0.000s,PASSED
cal.setTime(date),Chrome 73.0.3683.103,,2019-04-30 13:57:45,2019-04-30 13:57:45,0.000s,PASSED
month = cal.get(MONTH) + 1,Chrome 73.0.3683.103,,2019-04-30 13:57:45,2019-04-30 13:57:45,0.000s,PASSED
year = cal.get(YEAR),Chrome 73.0.3683.103,,2019-04-30 13:57:45,2019-04-30 13:57:45,0.000s,PASSED
"dayStr = ""01""",Chrome 73.0.3683.103,,2019-04-30 13:57:45,2019-04-30 13:57:45,0.000s,PASSED
"monthStr = """"",Chrome 73.0.3683.103,,2019-04-30 13:57:45,2019-04-30 13:57:45,0.001s,PASSED
yearStr = year.toString(),Chrome 73.0.3683.103,,2019-04-30 13:57:45,2019-04-30 13:57:45,0.000s,PASSED
if (month < 10),Chrome 73.0.3683.103,,2019-04-30 13:57:45,2019-04-30 13:57:45,0.001s,PASSED
fullDate = dayStr + monthStr + yearStr,Chrome 73.0.3683.103,,2019-04-30 13:57:45,2019-04-30 13:57:45,0.001s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:57:45,2019-04-30 13:57:46,1.001s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 73.0.3683.103,,2019-04-30 13:57:46,2019-04-30 13:57:48,2.262s,PASSED
"isPreSalaryTabOpen = waitForElementPresent(findTestObject(""Pre-Salary/preSalaryTab""), 5)",Chrome 73.0.3683.103,,2019-04-30 13:57:48,2019-04-30 13:57:54,5.631s,PASSED
if (!(isPreSalaryTabOpen)),Chrome 73.0.3683.103,,2019-04-30 13:57:54,2019-04-30 13:57:55,1.371s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), 15)",Chrome 73.0.3683.103,,2019-04-30 13:57:55,2019-04-30 13:57:56,0.615s,PASSED
"click(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""))",Chrome 73.0.3683.103,,2019-04-30 13:57:56,2019-04-30 13:57:56,0.169s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:57:56,2019-04-30 13:57:57,1.001s,PASSED
"setText(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), """")",Chrome 73.0.3683.103,,2019-04-30 13:57:57,2019-04-30 13:57:57,0.109s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:57:57,2019-04-30 13:57:58,1.004s,PASSED
"setText(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), fullDate)",Chrome 73.0.3683.103,,2019-04-30 13:57:58,2019-04-30 13:57:58,0.323s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), 15)",Chrome 73.0.3683.103,,2019-04-30 13:57:58,2019-04-30 13:57:58,0.020s,PASSED
"waitForElementNotPresent(findTestObject(""Pre-Salary/Filters/Drivers Dropdown/isLoadingDropdown""), 15)",Chrome 73.0.3683.103,,2019-04-30 13:57:58,2019-04-30 13:58:05,6.506s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:58:05,2019-04-30 13:58:06,1.002s,PASSED
try,Chrome 73.0.3683.103,,2019-04-30 13:58:06,2019-04-30 13:58:06,0.207s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:58:06,2019-04-30 13:58:07,1.003s,PASSED
try,Chrome 73.0.3683.103,,2019-04-30 13:58:07,2019-04-30 13:58:07,0.198s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:58:07,2019-04-30 13:58:08,1.003s,PASSED
"click(findTestObject(""Pre-Salary/Filters/Drivers Dropdown/driversListDropdownSelectFirstDriver""))",Chrome 73.0.3683.103,,2019-04-30 13:58:08,2019-04-30 13:58:08,0.139s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:58:08,2019-04-30 13:58:09,1.002s,PASSED
"click(findTestObject(""Pre-Salary/Data Status/importButton""))",Chrome 73.0.3683.103,,2019-04-30 13:58:09,2019-04-30 13:58:10,0.429s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 13:58:10,2019-04-30 13:58:11,1.002s,PASSED
try,Chrome 73.0.3683.103,,2019-04-30 13:58:11,2019-04-30 13:58:27,16.428s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 20)",Chrome 73.0.3683.103,,2019-04-30 13:58:27,2019-04-30 13:58:29,1.750s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 20)",Chrome 73.0.3683.103,,2019-04-30 13:58:29,2019-04-30 13:58:29,0.018s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 2)",Chrome 73.0.3683.103,,2019-04-30 13:58:29,2019-04-30 13:58:29,0.017s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/driversCodeId_InDriversReportTableHeader""), 2)",Chrome 73.0.3683.103,,2019-04-30 13:58:29,2019-04-30 13:58:29,0.026s,PASSED
"driverCodeFromReport = getText(findTestObject(""Pre-Salary/Employee Details/driversCodeId_InDriversReportTableHeader""))",Chrome 73.0.3683.103,,2019-04-30 13:58:29,2019-04-30 13:58:29,0.042s,PASSED
