Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Command and Control,Chrome 73.0.3683.86,,2019-04-01 13:24:35,2019-04-01 13:26:46,2m - 10.880s,PASSED
,,,,,,
Test Cases/Command and Control/Control tasks,Chrome 73.0.3683.86,,2019-04-01 13:24:35,2019-04-01 13:25:30,54.807s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 73.0.3683.86,,2019-04-01 13:24:36,2019-04-01 13:24:51,15.315s,PASSED
delay(1),Chrome 73.0.3683.86,"login
",2019-04-01 13:24:51,2019-04-01 13:24:52,1.021s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:24:52,2019-04-01 13:24:53,1.056s,PASSED
"waitForElementPresent(findTestObject(""Nav Bar/commandAndControl""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:24:53,2019-04-01 13:24:54,0.536s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:24:54,2019-04-01 13:24:57,3.761s,PASSED
"isControldTasksOpen = waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 73.0.3683.86,check if task control view is already open,2019-04-01 13:24:57,2019-04-01 13:25:13,15.567s,PASSED
if (!(isControldTasksOpen)),Chrome 73.0.3683.86,if task control view is not open then open it,2019-04-01 13:25:13,2019-04-01 13:25:14,1.217s,PASSED
"waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:25:14,2019-04-01 13:25:14,0.022s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:25:14,2019-04-01 13:25:14,0.024s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-01 13:25:14,2019-04-01 13:25:15,1.002s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/dateField""), 15)",Chrome 73.0.3683.86,check if date field exist,2019-04-01 13:25:15,2019-04-01 13:25:15,0.056s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/dateField""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:15,2019-04-01 13:25:15,0.081s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/footer""), 15)",Chrome 73.0.3683.86,check if footer exist,2019-04-01 13:25:15,2019-04-01 13:25:15,0.052s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/footer""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:15,2019-04-01 13:25:15,0.054s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/mainTable""), 15)",Chrome 73.0.3683.86,check if main table exist,2019-04-01 13:25:15,2019-04-01 13:25:18,2.630s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/mainTable""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:18,2019-04-01 13:25:18,0.056s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 15)",Chrome 73.0.3683.86,check if first line exist in table,2019-04-01 13:25:18,2019-04-01 13:25:18,0.040s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:18,2019-04-01 13:25:18,0.057s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/upperLeftFirstLine""), 15)",Chrome 73.0.3683.86,check if upper left elemnt has content,2019-04-01 13:25:18,2019-04-01 13:25:18,0.039s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/upperLeftFirstLine""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:18,2019-04-01 13:25:18,0.050s,PASSED
"doubleClick(findTestObject(""Command and Control/Tasks Control/tableFirstLine""))",Chrome 73.0.3683.86,enter a task,2019-04-01 13:25:18,2019-04-01 13:25:19,0.185s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-01 13:25:19,2019-04-01 13:25:20,1.004s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:25:20,2019-04-01 13:25:22,2.372s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 15)",Chrome 73.0.3683.86,check task tracking view exist,2019-04-01 13:25:22,2019-04-01 13:25:22,0.051s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:22,2019-04-01 13:25:22,0.063s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:25:22,2019-04-01 13:25:22,0.018s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 15)",Chrome 73.0.3683.86,check if task tracking is open,2019-04-01 13:25:22,2019-04-01 13:25:22,0.030s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:22,2019-04-01 13:25:22,0.054s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/header""), 15)",Chrome 73.0.3683.86,check if header exist,2019-04-01 13:25:22,2019-04-01 13:25:22,0.038s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/header""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:22,2019-04-01 13:25:22,0.048s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/map""), 15)",Chrome 73.0.3683.86,check if map exist,2019-04-01 13:25:22,2019-04-01 13:25:22,0.034s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/map""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:22,2019-04-01 13:25:22,0.048s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/exeptionsTabHref""), 15)",Chrome 73.0.3683.86,move to exeptions tab,2019-04-01 13:25:22,2019-04-01 13:25:22,0.036s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-01 13:25:22,2019-04-01 13:25:23,1.002s,PASSED
"click(findTestObject(""Command and Control/Task Tracking/exeptionsTabHref""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-01 13:25:23,2019-04-01 13:25:23,0.118s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-01 13:25:23,2019-04-01 13:25:24,1.003s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/exeptionsTable""), 15)",Chrome 73.0.3683.86,check if exeptions table exist,2019-04-01 13:25:24,2019-04-01 13:25:25,0.059s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/exeptionsTable""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:25,2019-04-01 13:25:25,0.054s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/remarks""), 15)",Chrome 73.0.3683.86,check if remarks exist,2019-04-01 13:25:25,2019-04-01 13:25:25,0.036s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/remarks""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:25,2019-04-01 13:25:25,0.050s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/statusCheck""), 15)",Chrome 73.0.3683.86,check if status check exist,2019-04-01 13:25:25,2019-04-01 13:25:25,0.036s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/statusCheck""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:25,2019-04-01 13:25:25,0.052s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/stationsTabHref""), 15)",Chrome 73.0.3683.86,move to stations tab,2019-04-01 13:25:25,2019-04-01 13:25:25,0.037s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-01 13:25:25,2019-04-01 13:25:26,1.004s,PASSED
"click(findTestObject(""Command and Control/Task Tracking/stationsTabHref""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-01 13:25:26,2019-04-01 13:25:26,0.157s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-01 13:25:26,2019-04-01 13:25:27,1.003s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/stationsTable""), 15)",Chrome 73.0.3683.86,check if status check exist,2019-04-01 13:25:27,2019-04-01 13:25:27,0.047s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/stationsTable""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:27,2019-04-01 13:25:27,0.051s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/close""), 15)",Chrome 73.0.3683.86,close task tracking,2019-04-01 13:25:27,2019-04-01 13:25:27,0.036s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-01 13:25:27,2019-04-01 13:25:28,1.002s,PASSED
"click(findTestObject(""Command and Control/Task Tracking/close""), STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-01 13:25:28,2019-04-01 13:25:28,0.174s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-01 13:25:28,2019-04-01 13:25:29,1.004s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-01 13:25:29,2019-04-01 13:25:30,0.672s,PASSED
,,,,,,
Test Cases/Command and Control/Control tasks,Chrome 73.0.3683.86,,2019-04-01 13:25:30,2019-04-01 13:25:58,27.603s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 73.0.3683.86,,2019-04-01 13:25:30,2019-04-01 13:25:41,10.659s,PASSED
delay(1),Chrome 73.0.3683.86,"login
",2019-04-01 13:25:41,2019-04-01 13:25:42,1.003s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:25:42,2019-04-01 13:25:42,0.536s,PASSED
"waitForElementPresent(findTestObject(""Nav Bar/commandAndControl""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:25:42,2019-04-01 13:25:43,0.559s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:25:43,2019-04-01 13:25:45,2.143s,PASSED
"isControldTasksOpen = waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 73.0.3683.86,check if task control view is already open,2019-04-01 13:25:45,2019-04-01 13:25:45,0.037s,PASSED
if (!(isControldTasksOpen)),Chrome 73.0.3683.86,if task control view is not open then open it,2019-04-01 13:25:45,2019-04-01 13:25:45,0.001s,PASSED
"waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:25:45,2019-04-01 13:25:45,0.023s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.86,,2019-04-01 13:25:45,2019-04-01 13:25:45,0.017s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-01 13:25:45,2019-04-01 13:25:46,1.002s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/dateField""), 15)",Chrome 73.0.3683.86,check if date field exist,2019-04-01 13:25:46,2019-04-01 13:25:46,0.037s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/dateField""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:46,2019-04-01 13:25:46,0.056s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/footer""), 15)",Chrome 73.0.3683.86,check if footer exist,2019-04-01 13:25:46,2019-04-01 13:25:46,0.037s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/footer""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:46,2019-04-01 13:25:46,0.051s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/mainTable""), 15)",Chrome 73.0.3683.86,check if main table exist,2019-04-01 13:25:46,2019-04-01 13:25:46,0.036s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/mainTable""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:46,2019-04-01 13:25:46,0.055s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 15)",Chrome 73.0.3683.86,check if first line exist in table,2019-04-01 13:25:46,2019-04-01 13:25:46,0.037s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 5)",Chrome 73.0.3683.86,,2019-04-01 13:25:46,2019-04-01 13:25:46,0.051s,PASSED
