Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Command and Control,Chrome 72.0.3626.119,,2019-03-05 13:29:10,2019-03-05 13:31:21,2m - 10.418s,PASSED
,,,,,,
Test Cases/Command and Control/Control tasks,Chrome 72.0.3626.119,,2019-03-05 13:29:11,2019-03-05 13:29:56,45.541s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 72.0.3626.119,,2019-03-05 13:29:11,2019-03-05 13:29:22,10.779s,PASSED
delay(1),Chrome 72.0.3626.119,"login
",2019-03-05 13:29:22,2019-03-05 13:29:23,1.023s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 72.0.3626.119,,2019-03-05 13:29:23,2019-03-05 13:29:23,0.551s,PASSED
"waitForElementPresent(findTestObject(""Nav Bar/commandAndControl""), 15)",Chrome 72.0.3626.119,,2019-03-05 13:29:23,2019-03-05 13:29:24,0.538s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 72.0.3626.119,,2019-03-05 13:29:24,2019-03-05 13:29:27,2.647s,PASSED
"isControldTasksOpen = waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 72.0.3626.119,check if task control view is already open,2019-03-05 13:29:27,2019-03-05 13:29:42,15.479s,PASSED
if (!(isControldTasksOpen)),Chrome 72.0.3626.119,if task control view is not open then open it,2019-03-05 13:29:42,2019-03-05 13:29:43,1.241s,PASSED
"waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 72.0.3626.119,,2019-03-05 13:29:43,2019-03-05 13:29:43,0.048s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 72.0.3626.119,,2019-03-05 13:29:43,2019-03-05 13:29:43,0.025s,PASSED
delay(1),Chrome 72.0.3626.119,,2019-03-05 13:29:43,2019-03-05 13:29:44,1.003s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/dateField""), 15)",Chrome 72.0.3626.119,check if date field exist,2019-03-05 13:29:44,2019-03-05 13:29:45,0.053s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/dateField""), 5)",Chrome 72.0.3626.119,,2019-03-05 13:29:45,2019-03-05 13:29:45,0.419s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/footer""), 15)",Chrome 72.0.3626.119,check if footer exist,2019-03-05 13:29:45,2019-03-05 13:29:45,0.039s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/footer""), 5)",Chrome 72.0.3626.119,,2019-03-05 13:29:45,2019-03-05 13:29:45,0.068s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/mainTable""), 15)",Chrome 72.0.3626.119,check if main table exist,2019-03-05 13:29:45,2019-03-05 13:29:45,0.038s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/mainTable""), 5)",Chrome 72.0.3626.119,,2019-03-05 13:29:45,2019-03-05 13:29:45,0.060s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 15)",Chrome 72.0.3626.119,check if first line exist in table,2019-03-05 13:29:45,2019-03-05 13:29:45,0.072s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 5)",Chrome 72.0.3626.119,,2019-03-05 13:29:45,2019-03-05 13:29:45,0.062s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/upperLeftFirstLine""), 15)",Chrome 72.0.3626.119,check if upper left elemnt has content,2019-03-05 13:29:45,2019-03-05 13:29:45,0.040s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/upperLeftFirstLine""), 5)",Chrome 72.0.3626.119,,2019-03-05 13:29:45,2019-03-05 13:29:45,0.049s,PASSED
"doubleClick(findTestObject(""Command and Control/Tasks Control/tableFirstLine""))",Chrome 72.0.3626.119,enter a task,2019-03-05 13:29:45,2019-03-05 13:29:46,0.163s,PASSED
delay(1),Chrome 72.0.3626.119,,2019-03-05 13:29:46,2019-03-05 13:29:47,1.003s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 72.0.3626.119,,2019-03-05 13:29:47,2019-03-05 13:29:48,1.622s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 15)",Chrome 72.0.3626.119,check task tracking view exist,2019-03-05 13:29:48,2019-03-05 13:29:48,0.039s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 5)",Chrome 72.0.3626.119,,2019-03-05 13:29:48,2019-03-05 13:29:48,0.054s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 72.0.3626.119,,2019-03-05 13:29:48,2019-03-05 13:29:48,0.018s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 15)",Chrome 72.0.3626.119,check if task tracking is open,2019-03-05 13:29:48,2019-03-05 13:29:48,0.028s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Task Tracking/taskTrackingView""), 5)",Chrome 72.0.3626.119,,2019-03-05 13:29:48,2019-03-05 13:29:48,0.053s,PASSED
