Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Command and Control,Chrome 73.0.3683.103,,2019-05-01 10:28:03,2019-05-01 10:31:09,3m - 5.765s,PASSED
,,,,,,
Test Cases/Command and Control/Control tasks,Chrome 73.0.3683.103,,2019-05-01 10:28:04,2019-05-01 10:29:47,1m - 43.685s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 73.0.3683.103,,2019-05-01 10:28:04,2019-05-01 10:28:52,47.945s,PASSED
delay(1),Chrome 73.0.3683.103,"login
",2019-05-01 10:28:52,2019-05-01 10:28:53,1.023s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 73.0.3683.103,,2019-05-01 10:28:53,2019-05-01 10:29:04,10.390s,PASSED
"waitForElementPresent(findTestObject(""Nav Bar/commandAndControl""), 15)",Chrome 73.0.3683.103,,2019-05-01 10:29:04,2019-05-01 10:29:04,0.539s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.103,,2019-05-01 10:29:04,2019-05-01 10:29:14,10.317s,PASSED
"isControldTasksOpen = waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 73.0.3683.103,check if task control view is already open,2019-05-01 10:29:14,2019-05-01 10:29:30,15.503s,PASSED
if (!(isControldTasksOpen)),Chrome 73.0.3683.103,if task control view is not open then open it,2019-05-01 10:29:30,2019-05-01 10:29:31,1.233s,PASSED
"waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 73.0.3683.103,,2019-05-01 10:29:31,2019-05-01 10:29:31,0.022s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.103,,2019-05-01 10:29:31,2019-05-01 10:29:31,0.022s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-05-01 10:29:31,2019-05-01 10:29:32,1.002s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/dateField""), 15)",Chrome 73.0.3683.103,check if date field exist,2019-05-01 10:29:32,2019-05-01 10:29:32,0.051s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/dateField""), 5)",Chrome 73.0.3683.103,,2019-05-01 10:29:32,2019-05-01 10:29:32,0.079s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/footer""), 15)",Chrome 73.0.3683.103,check if footer exist,2019-05-01 10:29:32,2019-05-01 10:29:32,0.043s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/footer""), 5)",Chrome 73.0.3683.103,,2019-05-01 10:29:32,2019-05-01 10:29:32,0.057s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/mainTable""), 15)",Chrome 73.0.3683.103,check if main table exist,2019-05-01 10:29:32,2019-05-01 10:29:33,0.564s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/mainTable""), 5)",Chrome 73.0.3683.103,,2019-05-01 10:29:33,2019-05-01 10:29:33,0.060s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 15)",Chrome 73.0.3683.103,check if first line exist in table,2019-05-01 10:29:33,2019-05-01 10:29:33,0.039s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 5)",Chrome 73.0.3683.103,,2019-05-01 10:29:33,2019-05-01 10:29:33,0.051s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/upperLeftFirstLine""), 15)",Chrome 73.0.3683.103,check if upper left elemnt has content,2019-05-01 10:29:33,2019-05-01 10:29:36,3.140s,PASSED
