Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Working Ticket Confirmation,Chrome 74.0.3729.131,,2019-05-15 00:36:58,2019-05-15 00:38:14,1m - 16.278s,FAILED
,,,,,,
Test Cases/Working Tciket Confirmation/Working Ticket Sanity,Chrome 74.0.3729.131,,2019-05-15 00:36:58,2019-05-15 00:38:14,1m - 15.213s,FAILED
"login.c_login.logIn(site, userName, userPass)",Chrome 74.0.3729.131,,2019-05-15 00:36:59,2019-05-15 00:37:17,17.502s,PASSED
delay(1),Chrome 74.0.3729.131,login,2019-05-15 00:37:17,2019-05-15 00:37:18,1.021s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 74.0.3729.131,enter drivers ticket confiramtion view,2019-05-15 00:37:18,2019-05-15 00:37:25,7.295s,PASSED
"isWorkingTicketOpen = waitForElementPresent(findTestObject(""Nav Bar/Nav Bar Funds/workingTicketConfirmation""), 5)",Chrome 74.0.3729.131,,2019-05-15 00:37:25,2019-05-15 00:37:30,5.185s,PASSED
if (!(isWorkingTicketOpen)),Chrome 74.0.3729.131,,2019-05-15 00:37:30,2019-05-15 00:37:36,5.999s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-15 00:37:36,2019-05-15 00:37:37,1.003s,PASSED
"waitForElementVisible(findTestObject(""Driver Ticket Confirmation/driverTciketView""), 15)",Chrome 74.0.3729.131,wait for loading,2019-05-15 00:37:37,2019-05-15 00:37:37,0.061s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 74.0.3729.131,,2019-05-15 00:37:37,2019-05-15 00:37:52,15.035s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Driver Ticket Confirmation/driverTciketView""), 5)",Chrome 74.0.3729.131,,2019-05-15 00:37:52,2019-05-15 00:37:52,0.075s,PASSED
"waitForElementNotPresent(findTestObject(""General/dropdownListSpinner""), 15)",Chrome 74.0.3729.131,,2019-05-15 00:37:52,2019-05-15 00:37:52,0.039s,PASSED
"verifyElementNotPresent(findTestObject(""General/dropdownListSpinner""), 5)",Chrome 74.0.3729.131,,2019-05-15 00:37:52,2019-05-15 00:37:52,0.039s,PASSED
"waitForElementNotPresent(findTestObject(""General/gridLoadingBar""), 15)",Chrome 74.0.3729.131,,2019-05-15 00:37:52,2019-05-15 00:38:07,15.076s,PASSED
"verifyElementNotPresent(findTestObject(""General/gridLoadingBar""), 5)",Chrome 74.0.3729.131,,2019-05-15 00:38:07,2019-05-15 00:38:14,6.230s,FAILED
