Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pre Salary,Chrome 71.0.3578.98,,2019-01-30 12:51:08,2019-01-30 13:00:47,9m - 38.291s,FAILED
,,,,,,
Test Cases/Pre-Salary/One Driver Calc,Chrome 71.0.3578.98,,2019-01-30 12:51:09,2019-01-30 12:52:03,53.711s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 71.0.3578.98,,2019-01-30 12:51:10,2019-01-30 12:51:25,15.145s,PASSED
date = new java.util.Date(),Chrome 71.0.3578.98,,2019-01-30 12:51:25,2019-01-30 12:51:25,0.021s,PASSED
cal = Calendar.getInstance(),Chrome 71.0.3578.98,,2019-01-30 12:51:25,2019-01-30 12:51:25,0.006s,PASSED
cal.setTime(date),Chrome 71.0.3578.98,,2019-01-30 12:51:25,2019-01-30 12:51:25,0.101s,PASSED
month = cal.get(MONTH) + 1,Chrome 71.0.3578.98,,2019-01-30 12:51:25,2019-01-30 12:51:25,0.017s,PASSED
year = cal.get(YEAR),Chrome 71.0.3578.98,,2019-01-30 12:51:25,2019-01-30 12:51:25,0.003s,PASSED
"dayStr = ""01""",Chrome 71.0.3578.98,,2019-01-30 12:51:25,2019-01-30 12:51:25,0.001s,PASSED
"monthStr = """"",Chrome 71.0.3578.98,,2019-01-30 12:51:25,2019-01-30 12:51:25,0.001s,PASSED
yearStr = year.toString(),Chrome 71.0.3578.98,,2019-01-30 12:51:25,2019-01-30 12:51:25,0.005s,PASSED
if (month < 10),Chrome 71.0.3578.98,,2019-01-30 12:51:25,2019-01-30 12:51:25,0.002s,PASSED
fullDate = dayStr + monthStr + yearStr,Chrome 71.0.3578.98,,2019-01-30 12:51:25,2019-01-30 12:51:25,0.001s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:51:25,2019-01-30 12:51:26,1.143s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:51:26,2019-01-30 12:51:26,0.236s,PASSED
"isPreSalaryTabOpen = waitForElementPresent(findTestObject(""Pre-Salary/preSalaryTab""), 5)",Chrome 71.0.3578.98,,2019-01-30 12:51:26,2019-01-30 12:51:32,5.927s,PASSED
if (!(isPreSalaryTabOpen)),Chrome 71.0.3578.98,,2019-01-30 12:51:32,2019-01-30 12:51:34,1.296s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:51:34,2019-01-30 12:51:34,0.572s,PASSED
"click(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""))",Chrome 71.0.3578.98,,2019-01-30 12:51:34,2019-01-30 12:51:34,0.233s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:51:34,2019-01-30 12:51:35,1.002s,PASSED
"setText(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), """")",Chrome 71.0.3578.98,,2019-01-30 12:51:35,2019-01-30 12:51:35,0.103s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:51:35,2019-01-30 12:51:36,1.001s,PASSED
"setText(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), fullDate)",Chrome 71.0.3578.98,,2019-01-30 12:51:36,2019-01-30 12:51:37,0.463s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:51:37,2019-01-30 12:51:37,0.020s,PASSED
"waitForElementNotPresent(findTestObject(""Pre-Salary/Filters/Drivers Dropdown/isLoadingDropdown""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:51:37,2019-01-30 12:51:37,0.184s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:51:37,2019-01-30 12:51:38,1.002s,PASSED
try,Chrome 71.0.3578.98,,2019-01-30 12:51:38,2019-01-30 12:51:38,0.232s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:51:38,2019-01-30 12:51:39,1.001s,PASSED
try,Chrome 71.0.3578.98,,2019-01-30 12:51:39,2019-01-30 12:51:40,0.142s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:51:40,2019-01-30 12:51:41,1.001s,PASSED
"click(findTestObject(""Pre-Salary/Filters/Drivers Dropdown/driversListDropdownSelectFirstDriver""))",Chrome 71.0.3578.98,,2019-01-30 12:51:41,2019-01-30 12:51:41,0.124s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:51:41,2019-01-30 12:51:42,1.001s,PASSED
"click(findTestObject(""Pre-Salary/Data Status/importButton""))",Chrome 71.0.3578.98,,2019-01-30 12:51:42,2019-01-30 12:51:42,0.405s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:51:42,2019-01-30 12:51:43,1.001s,PASSED
try,Chrome 71.0.3578.98,,2019-01-30 12:51:43,2019-01-30 12:51:59,16.104s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 20)",Chrome 71.0.3578.98,,2019-01-30 12:51:59,2019-01-30 12:52:01,1.959s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 20)",Chrome 71.0.3578.98,,2019-01-30 12:52:01,2019-01-30 12:52:02,0.513s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 2)",Chrome 71.0.3578.98,,2019-01-30 12:52:02,2019-01-30 12:52:02,0.023s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/driversCodeId_InDriversReportTableHeader""), 2)",Chrome 71.0.3578.98,,2019-01-30 12:52:02,2019-01-30 12:52:02,0.043s,PASSED
"driverCodeFromReport = getText(findTestObject(""Pre-Salary/Employee Details/driversCodeId_InDriversReportTableHeader""))",Chrome 71.0.3578.98,,2019-01-30 12:52:02,2019-01-30 12:52:02,0.054s,PASSED
if (driverCodeFromReport != driver_Id),Chrome 71.0.3578.98,,2019-01-30 12:52:02,2019-01-30 12:52:02,0.000s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/rightSideTable""), 10)",Chrome 71.0.3578.98,,2019-01-30 12:52:02,2019-01-30 12:52:02,0.026s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/rightSideTable""), 2)",Chrome 71.0.3578.98,,2019-01-30 12:52:02,2019-01-30 12:52:02,0.015s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/rightSideTableDriversId""), 10)",Chrome 71.0.3578.98,,2019-01-30 12:52:02,2019-01-30 12:52:02,0.026s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/rightSideTableDriversId""), 2)",Chrome 71.0.3578.98,,2019-01-30 12:52:02,2019-01-30 12:52:02,0.019s,PASSED
"driversCodeFromRightSideTable = getText(findTestObject(""Pre-Salary/Employee Details/rightSideTableDriversId""))",Chrome 71.0.3578.98,,2019-01-30 12:52:02,2019-01-30 12:52:02,0.049s,PASSED
if (driversCodeFromRightSideTable != driver_Id),Chrome 71.0.3578.98,,2019-01-30 12:52:02,2019-01-30 12:52:02,0.000s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-30 12:52:02,2019-01-30 12:52:03,0.738s,PASSED
,,,,,,
Test Cases/Pre-Salary/One Driver Calc,Chrome 71.0.3578.98,,2019-01-30 12:52:03,2019-01-30 12:52:58,54.958s,FAILED
"login.c_login.logIn(site, userName, userPass)",Chrome 71.0.3578.98,,2019-01-30 12:52:03,2019-01-30 12:52:13,10.067s,PASSED
date = new java.util.Date(),Chrome 71.0.3578.98,,2019-01-30 12:52:13,2019-01-30 12:52:13,0.001s,PASSED
cal = Calendar.getInstance(),Chrome 71.0.3578.98,,2019-01-30 12:52:13,2019-01-30 12:52:13,0.000s,PASSED
cal.setTime(date),Chrome 71.0.3578.98,,2019-01-30 12:52:13,2019-01-30 12:52:13,0.001s,PASSED
month = cal.get(MONTH) + 1,Chrome 71.0.3578.98,,2019-01-30 12:52:13,2019-01-30 12:52:13,0.000s,PASSED
year = cal.get(YEAR),Chrome 71.0.3578.98,,2019-01-30 12:52:13,2019-01-30 12:52:13,0.000s,PASSED
"dayStr = ""01""",Chrome 71.0.3578.98,,2019-01-30 12:52:13,2019-01-30 12:52:13,0.001s,PASSED
"monthStr = """"",Chrome 71.0.3578.98,,2019-01-30 12:52:13,2019-01-30 12:52:13,0.000s,PASSED
yearStr = year.toString(),Chrome 71.0.3578.98,,2019-01-30 12:52:13,2019-01-30 12:52:13,0.000s,PASSED
if (month < 10),Chrome 71.0.3578.98,,2019-01-30 12:52:13,2019-01-30 12:52:13,0.001s,PASSED
fullDate = dayStr + monthStr + yearStr,Chrome 71.0.3578.98,,2019-01-30 12:52:13,2019-01-30 12:52:13,0.000s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:52:13,2019-01-30 12:52:14,1.002s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:52:14,2019-01-30 12:52:14,0.532s,PASSED
"isPreSalaryTabOpen = waitForElementPresent(findTestObject(""Pre-Salary/preSalaryTab""), 5)",Chrome 71.0.3578.98,,2019-01-30 12:52:14,2019-01-30 12:52:20,5.873s,PASSED
if (!(isPreSalaryTabOpen)),Chrome 71.0.3578.98,,2019-01-30 12:52:20,2019-01-30 12:52:22,1.308s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:52:22,2019-01-30 12:52:22,0.588s,PASSED
"click(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""))",Chrome 71.0.3578.98,,2019-01-30 12:52:22,2019-01-30 12:52:22,0.218s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:52:22,2019-01-30 12:52:23,1.000s,PASSED
"setText(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), """")",Chrome 71.0.3578.98,,2019-01-30 12:52:23,2019-01-30 12:52:23,0.109s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:52:23,2019-01-30 12:52:24,1.001s,PASSED
"setText(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), fullDate)",Chrome 71.0.3578.98,,2019-01-30 12:52:24,2019-01-30 12:52:25,0.257s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:52:25,2019-01-30 12:52:25,0.016s,PASSED
"waitForElementNotPresent(findTestObject(""Pre-Salary/Filters/Drivers Dropdown/isLoadingDropdown""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:52:25,2019-01-30 12:52:25,0.023s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:52:25,2019-01-30 12:52:26,1.001s,PASSED
try,Chrome 71.0.3578.98,,2019-01-30 12:52:26,2019-01-30 12:52:26,0.196s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:52:26,2019-01-30 12:52:27,1.001s,PASSED
try,Chrome 71.0.3578.98,,2019-01-30 12:52:27,2019-01-30 12:52:27,0.155s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:52:27,2019-01-30 12:52:28,1.001s,PASSED
"click(findTestObject(""Pre-Salary/Filters/Drivers Dropdown/driversListDropdownSelectFirstDriver""))",Chrome 71.0.3578.98,,2019-01-30 12:52:28,2019-01-30 12:52:28,0.118s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:52:28,2019-01-30 12:52:29,1.002s,PASSED
"click(findTestObject(""Pre-Salary/Data Status/importButton""))",Chrome 71.0.3578.98,,2019-01-30 12:52:29,2019-01-30 12:52:30,0.385s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:52:30,2019-01-30 12:52:31,1.002s,PASSED
try,Chrome 71.0.3578.98,,2019-01-30 12:52:31,2019-01-30 12:52:55,24.885s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 20)",Chrome 71.0.3578.98,,2019-01-30 12:52:55,2019-01-30 12:52:57,1.057s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 20)",Chrome 71.0.3578.98,,2019-01-30 12:52:57,2019-01-30 12:52:57,0.901s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 2)",Chrome 71.0.3578.98,,2019-01-30 12:52:57,2019-01-30 12:52:58,0.077s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/driversCodeId_InDriversReportTableHeader""), 2)",Chrome 71.0.3578.98,,2019-01-30 12:52:58,2019-01-30 12:52:58,0.022s,PASSED
"driverCodeFromReport = getText(findTestObject(""Pre-Salary/Employee Details/driversCodeId_InDriversReportTableHeader""))",Chrome 71.0.3578.98,,2019-01-30 12:52:58,2019-01-30 12:52:58,0.048s,PASSED
if (driverCodeFromReport != driver_Id),Chrome 71.0.3578.98,,2019-01-30 12:52:58,2019-01-30 12:52:58,0.032s,FAILED
,,,,,,
Test Cases/Pre-Salary/One Driver Calc,Chrome 71.0.3578.98,,2019-01-30 12:52:58,2019-01-30 12:54:12,1m - 14.269s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 71.0.3578.98,,2019-01-30 12:52:58,2019-01-30 12:53:10,12.657s,PASSED
date = new java.util.Date(),Chrome 71.0.3578.98,,2019-01-30 12:53:10,2019-01-30 12:53:10,0.000s,PASSED
cal = Calendar.getInstance(),Chrome 71.0.3578.98,,2019-01-30 12:53:10,2019-01-30 12:53:10,0.000s,PASSED
cal.setTime(date),Chrome 71.0.3578.98,,2019-01-30 12:53:10,2019-01-30 12:53:10,0.000s,PASSED
month = cal.get(MONTH) + 1,Chrome 71.0.3578.98,,2019-01-30 12:53:10,2019-01-30 12:53:10,0.000s,PASSED
year = cal.get(YEAR),Chrome 71.0.3578.98,,2019-01-30 12:53:10,2019-01-30 12:53:10,0.000s,PASSED
"dayStr = ""01""",Chrome 71.0.3578.98,,2019-01-30 12:53:10,2019-01-30 12:53:10,0.001s,PASSED
"monthStr = """"",Chrome 71.0.3578.98,,2019-01-30 12:53:10,2019-01-30 12:53:10,0.000s,PASSED
yearStr = year.toString(),Chrome 71.0.3578.98,,2019-01-30 12:53:10,2019-01-30 12:53:10,0.001s,PASSED
if (month < 10),Chrome 71.0.3578.98,,2019-01-30 12:53:10,2019-01-30 12:53:10,0.000s,PASSED
fullDate = dayStr + monthStr + yearStr,Chrome 71.0.3578.98,,2019-01-30 12:53:10,2019-01-30 12:53:10,0.000s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:53:10,2019-01-30 12:53:11,1.002s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:53:11,2019-01-30 12:53:12,0.536s,PASSED
"isPreSalaryTabOpen = waitForElementPresent(findTestObject(""Pre-Salary/preSalaryTab""), 5)",Chrome 71.0.3578.98,,2019-01-30 12:53:12,2019-01-30 12:53:12,0.567s,PASSED
if (!(isPreSalaryTabOpen)),Chrome 71.0.3578.98,,2019-01-30 12:53:12,2019-01-30 12:53:12,0.001s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:53:12,2019-01-30 12:53:13,0.544s,PASSED
"click(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""))",Chrome 71.0.3578.98,,2019-01-30 12:53:13,2019-01-30 12:53:13,0.138s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:53:13,2019-01-30 12:53:14,1.001s,PASSED
"setText(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), """")",Chrome 71.0.3578.98,,2019-01-30 12:53:14,2019-01-30 12:53:14,0.098s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:53:14,2019-01-30 12:53:15,1.001s,PASSED
"setText(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), fullDate)",Chrome 71.0.3578.98,,2019-01-30 12:53:15,2019-01-30 12:53:15,0.177s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Filters/Date Picker Start/datePickerInputField""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:53:15,2019-01-30 12:53:15,0.014s,PASSED
"waitForElementNotPresent(findTestObject(""Pre-Salary/Filters/Drivers Dropdown/isLoadingDropdown""), 15)",Chrome 71.0.3578.98,,2019-01-30 12:53:15,2019-01-30 12:53:19,3.401s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:53:19,2019-01-30 12:53:20,1.001s,PASSED
try,Chrome 71.0.3578.98,,2019-01-30 12:53:20,2019-01-30 12:53:20,0.193s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:53:20,2019-01-30 12:53:21,1.001s,PASSED
try,Chrome 71.0.3578.98,,2019-01-30 12:53:21,2019-01-30 12:53:21,0.121s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:53:21,2019-01-30 12:53:22,1.002s,PASSED
"click(findTestObject(""Pre-Salary/Filters/Drivers Dropdown/driversListDropdownSelectFirstDriver""))",Chrome 71.0.3578.98,,2019-01-30 12:53:22,2019-01-30 12:53:22,0.101s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:53:22,2019-01-30 12:53:23,1.001s,PASSED
"click(findTestObject(""Pre-Salary/Data Status/importButton""))",Chrome 71.0.3578.98,,2019-01-30 12:53:23,2019-01-30 12:53:24,0.319s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-30 12:53:24,2019-01-30 12:53:25,1.001s,PASSED
try,Chrome 71.0.3578.98,,2019-01-30 12:53:25,2019-01-30 12:54:01,36.445s,FAILED
catch (Exception err),Chrome 71.0.3578.98,,2019-01-30 12:54:01,2019-01-30 12:54:09,7.738s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 20)",Chrome 71.0.3578.98,,2019-01-30 12:54:09,2019-01-30 12:54:11,1.923s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 20)",Chrome 71.0.3578.98,,2019-01-30 12:54:11,2019-01-30 12:54:11,0.417s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/driversReportTable""), 2)",Chrome 71.0.3578.98,,2019-01-30 12:54:11,2019-01-30 12:54:11,0.019s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/driversCodeId_InDriversReportTableHeader""), 2)",Chrome 71.0.3578.98,,2019-01-30 12:54:11,2019-01-30 12:54:11,0.018s,PASSED
"driverCodeFromReport = getText(findTestObject(""Pre-Salary/Employee Details/driversCodeId_InDriversReportTableHeader""))",Chrome 71.0.3578.98,,2019-01-30 12:54:11,2019-01-30 12:54:11,0.037s,PASSED
if (driverCodeFromReport != driver_Id),Chrome 71.0.3578.98,,2019-01-30 12:54:11,2019-01-30 12:54:11,0.000s,PASSED
"waitForElementPresent(findTestObject(""Pre-Salary/Employee Details/rightSideTable""), 10)",Chrome 71.0.3578.98,,2019-01-30 12:54:11,2019-01-30 12:54:11,0.019s,PASSED
"verifyElementPresent(findTestObject(""Pre-Salary/Employee Details/rightSideTable""), 2)",Chrome 71.0.3578.98,,2019-01-30 12:54:11,2019-01-30 12:54:11,0.013s,PASSED
