Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Command and Control,Chrome 73.0.3683.103,,2019-04-21 17:11:01,2019-04-21 17:12:55,1m - 54.142s,PASSED
,,,,,,
Test Cases/Command and Control/Control tasks,Chrome 73.0.3683.103,,2019-04-21 17:11:01,2019-04-21 17:11:47,45.284s,PASSED
"login.c_login.logIn(site, userName, userPass)",Chrome 73.0.3683.103,,2019-04-21 17:11:02,2019-04-21 17:11:12,10.184s,PASSED
delay(1),Chrome 73.0.3683.103,"login
",2019-04-21 17:11:12,2019-04-21 17:11:13,1.022s,PASSED
"waitForElementPresent(findTestObject(""General/mainEmptyBackground""), 15)",Chrome 73.0.3683.103,,2019-04-21 17:11:13,2019-04-21 17:11:13,0.208s,PASSED
"waitForElementPresent(findTestObject(""Nav Bar/commandAndControl""), 15)",Chrome 73.0.3683.103,,2019-04-21 17:11:13,2019-04-21 17:11:14,0.544s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.103,,2019-04-21 17:11:14,2019-04-21 17:11:17,3.243s,PASSED
"isControldTasksOpen = waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 73.0.3683.103,check if task control view is already open,2019-04-21 17:11:17,2019-04-21 17:11:33,15.482s,PASSED
if (!(isControldTasksOpen)),Chrome 73.0.3683.103,if task control view is not open then open it,2019-04-21 17:11:33,2019-04-21 17:11:34,1.279s,PASSED
"waitForElementPresent(findTestObject(""Command and Control/Tasks Control/taskControlView""), 15)",Chrome 73.0.3683.103,,2019-04-21 17:11:34,2019-04-21 17:11:34,0.024s,PASSED
"waitForElementNotPresent(findTestObject(""General/loadingBar""), 15)",Chrome 73.0.3683.103,,2019-04-21 17:11:34,2019-04-21 17:11:34,0.027s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-21 17:11:34,2019-04-21 17:11:35,1.004s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/dateField""), 15)",Chrome 73.0.3683.103,check if date field exist,2019-04-21 17:11:35,2019-04-21 17:11:35,0.071s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/dateField""), 5)",Chrome 73.0.3683.103,,2019-04-21 17:11:35,2019-04-21 17:11:35,0.098s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/footer""), 15)",Chrome 73.0.3683.103,check if footer exist,2019-04-21 17:11:35,2019-04-21 17:11:35,0.049s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/footer""), 5)",Chrome 73.0.3683.103,,2019-04-21 17:11:35,2019-04-21 17:11:36,0.311s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/mainTable""), 15)",Chrome 73.0.3683.103,check if main table exist,2019-04-21 17:11:36,2019-04-21 17:11:36,0.040s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/mainTable""), 5)",Chrome 73.0.3683.103,,2019-04-21 17:11:36,2019-04-21 17:11:36,0.055s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 15)",Chrome 73.0.3683.103,check if first line exist in table,2019-04-21 17:11:36,2019-04-21 17:11:36,0.046s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/tableFirstLine""), 5)",Chrome 73.0.3683.103,,2019-04-21 17:11:36,2019-04-21 17:11:36,0.069s,PASSED
"waitForElementVisible(findTestObject(""Command and Control/Tasks Control/upperLeftFirstLine""), 15)",Chrome 73.0.3683.103,check if upper left elemnt has content,2019-04-21 17:11:36,2019-04-21 17:11:36,0.039s,PASSED
"verifyElementVisibleInViewport(findTestObject(""Command and Control/Tasks Control/upperLeftFirstLine""), 5)",Chrome 73.0.3683.103,,2019-04-21 17:11:36,2019-04-21 17:11:36,0.051s,PASSED
"doubleClick(findTestObject(""Command and Control/Tasks Control/tableFirstLine""))",Chrome 73.0.3683.103,enter a task,2019-04-21 17:11:36,2019-04-21 17:11:36,0.209s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-21 17:11:36,2019-04-21 17:11:37,1.003s,PASSED
